id,title,description,date_created,slug
fc136715-8acb-4932-af48-118c68872d21,Caregiver/Primabalerina,"Silhouette of a square form dedicated to my mother. I wanted to embrace and talk about how I perceived my mother as a child. My mother always wore large ponchos and denim skirts, often a skirt over pants. She seemed monumental to me, I felt protection and support, hence I created a poncho that is stiff, reminiscent of an armor that gives shelter. I used materials that I got from her a very long time ago, they are materials from my grandmother, my mother's mother. The monumentality and hardness of the silhouette is meant to symbolize my respect for the Mother who protects. The second silhouette is my nostalgia for simple beauty. The silhouette is inspired by ballerinas however in a color scheme close to my taste. It is a nostalgic and romantic capture of simple beauty. The silhouette is meant to symbolize my longing for simple beauty that does not exaggerate, is not provocative, does not give narrative, is in my opinion simply delicate and pretty, despite the use of stiff materials.",2025-02-04T22:30:56.714Z,gowienko
86ceea9c-1afc-47b6-aa0f-1e0856f682d1,Try out before ,"Try out before ABGRUND 24’
Foto: @Konrad.pardo
Model: @ps4jko",2025-02-04T22:48:05.625Z,pies-edddd
99fdea56-037a-4c29-972c-e174d44adae5,ABGRUND 24',,2025-02-04T23:04:00.110Z,tommy
0154e75f-40cd-48da-a2ab-695bd5039812,"The show ""Admiration"" 24'","Some photos from my last show
Thanks to everybody

If you ask me that was my best show i ever made.

Photo:
@dszwski

@pawilon_bliska12
@kolektyw_coming.out

Some of the photos:
@dzikamalinaa",2024-02-14T00:52:34.199Z,bliska
6cbff1e6-d9b6-41b9-a715-4252f4079e5e,ANGST,"ANGST fashion show
Thank you @stol.powszechny
Music and Set Design: @brymber
Make-up and first silhouette: Anastasia Gippenreiter",2023-12-17T23:42:08.109Z,pokaz-stol-powsechny
72bdfef1-08b3-4df3-bd38-9e3321ada9dc,First Set,"Alin @jijiballinjiji
wearing
New collection by @jakub___kepka

MUA @gibonstern @gibazgroly
",2023-12-17T23:32:04.398Z,alin-sesja
cde86ac8-f24e-4d9c-bf80-64a017a968d6,Prototype,"Introduction to the fashion show series. I wanted to be inspired by the prototypes of things and the idea of surrealist primitivism. I also want to capture in the new collection what appeals to me most in art, which is to capture ""something"" through expression as limited as possible, to capture as much as possible through as few means of expression as possible. This is my personal ideal to which I aspire in painting and clothing design. 
Models:
@polanikiel
@no_japan
Photo:
@algidaphotos",2023-04-12T18:49:23.330Z,prototyp
84152106-9727-41ad-a4ef-b3ea55e8c05b,Fashion Show 22,"Pokaz 2022

Models:
@julajestcool
@kalinaqu
@fate.lu
@daria__suprun
@bgrajner
@kru__szynka
@julajestcool
@polanikiel
@jac0b_xo


Styling duo:
@sheabumblebee
@klarnet_

Hair:
@lenaradoch
@jedrek_calka

Photo:
@jackowska.karolina
@dominika.orz
@wawunia
@magdalenahaddock

Makeup:
@000jagoda
@stefix_masters_123
@gibonstern
@ashxc3",2022-11-22T00:11:55.717Z,pokaz22
35678e70-4930-46d0-895e-e937036f0a87,NAROCZ13,"@narocz13 fashion show

Photo:
@mon_and_ka
@krystian.sekut

Models:
@anthropy__
@sasa_lubinska
@chimera_homera
@ewajuana2.0",2022-11-22T00:02:21.054Z,narocz
fdacb32f-63f1-4f84-8163-e8e36b8a6288,Pre-show session,"Photo: [@paanato](https://www.instagram.com/paanato/)

Makeup is each model's creative vision, set design idea [@paanato ](https://www.instagram.com/paanato/)

Model: [@bellacwir](https://www.instagram.com/bellacwir/)

Model: [@europusia5000](https://www.instagram.com/europusia5000/)

Model: [@sasa_lubinska](https://www.instagram.com/sasa_lubinska/)

Model: [@italitwiniec](https://www.instagram.com/italitwiniec/)",2022-03-27T15:50:31.971Z,sesja6
